ID,user_id,Text,Label
1,user_a,"Great video, bhai!",safe
2,user_b,"Tumhari acting bohot achhi hai.",safe
3,user_a,"Love the content, keep it up!",safe
4,user_c,"Ye to bohot helpful information hai.",safe
5,user_d,"Awesome work, yaar!",safe
6,user_e,"You are so inspiring.",safe
7,user_f,"Nice review!",safe
8,user_g,"I agree with you completely.",safe
9,user_h,"That's a very good point.",safe
10,user_a,"Can't wait for your next one!",safe
11,user_i,"You have a great personality.",safe
12,user_j,"Thank you for this.",safe
13,user_k,"Bohot badiya laga sunkar.",safe
14,user_l,"Yeh toh ekdum sahi hai.",safe
15,user_m,"I am so happy for you.",safe
16,user_n,"You look great!",safe
17,user_o,"Kya haal hai?",safe
18,user_p,"Mera favourite song hai yeh.",safe
19,user_q,"You made my day.",safe
20,user_r,"Tum bohot funny ho.",safe
21,user_a,"This song is lit!",safe
22,user_s,"You're so talented.",safe
23,user_t,"Bahut maza aaya.",safe
24,user_u,"Tumne to dil jeet liya.",safe
25,user_v,"I love your creativity.",safe
26,user_w,"This is so relaxing.",safe
27,user_x,"You're a lifesaver.",safe
28,user_y,"What a beautiful view!",safe
29,user_z,"Nice picture!",safe
30,user_aa,"You're the best.",safe
31,user_bb,"Chalo chalte hai.",safe
32,user_cc,"Hope you have a great day.",safe
33,user_dd,"Tum bohot mehnat karte ho.",safe
34,user_ee,"This is really cool.",safe
35,user_ff,"You're so kind.",safe
36,user_gg,"Kya plan hai?",safe
37,user_hh,"You are a great person.",safe
38,user_ii,"Awesome.",safe
39,user_jj,"So excited for you!",safe
40,user_kk,"I am proud of you.",safe
41,user_a,"This movie is amazing!",safe
42,user_ll,"You are a great role model.",safe
43,user_mm,"You're so smart.",safe
44,user_nn,"I believe in you.",safe
45,user_oo,"Tumhara style bohot achha hai.",safe
46,user_pp,"This is inspiring.",safe
47,user_qq,"You look so happy.",safe
48,user_rr,"You are strong.",safe
49,user_ss,"Thanks for sharing this.",safe
50,user_tt,"This is a great idea.",safe
51,user_uu,"So happy for you.",safe
52,user_vv,"You deserve all the happiness.",safe
53,user_ww,"This is heartwarming.",safe
54,user_xx,"I am so lucky to have you.",safe
55,user_yy,"What a wonderful surprise.",safe
56,user_zz,"You're so lovable.",safe
57,user_aaa,"Let's meet soon.",safe
58,user_bbb,"This food is delicious.",safe
59,user_ccc,"You are so sweet.",safe
60,user_ddd,"You have a good heart.",safe
61,user_eee,"This is so helpful.",safe
62,user_fff,"You're so genuine.",safe
63,user_ggg,"I appreciate your honesty.",safe
64,user_a,"Keep shining!",safe
65,user_hhh,"You're so creative.",safe
66,user_iii,"This is fantastic!",safe
67,user_jjj,"So glad we're friends.",safe
68,user_kkk,"You have a beautiful smile.",safe
69,user_lll,"This is peaceful.",safe
70,user_mmm,"You're so kind-hearted.",safe
71,user_nnn,"You are a blessing.",safe
72,user_ooo,"This is so thoughtful.",safe
73,user_ppp,"You are so brave.",safe
74,user_qqq,"I'm so impressed.",safe
75,user_a,"You're a true inspiration.",safe
76,user_rrr,"You're so trustworthy.",safe
77,user_sss,"This is so exciting.",safe
78,user_ttt,"You're so witty.",safe
79,user_uuu,"Love your energy.",safe
80,user_vvv,"This is a great conversation.",safe
81,user_www,"You're so graceful.",safe
82,user_xxx,"This is a valuable lesson.",safe
83,user_yyy,"You're so generous.",safe
84,user_zzz,"I'm so grateful for you.",safe
85,user_a,"You're a lifesaver.",safe
86,user_abab,"You're so dependable.",safe
87,user_acac,"I can always count on you.",safe
88,user_adad,"You are an amazing person.",safe
89,user_aeae,"This is such a happy day.",safe
90,user_afaf,"You have a great sense of humor.",safe
91,user_agag,"This is perfect.",safe
92,user_ahah,"You're so polite.",safe
93,user_aiai,"I'm so lucky to know you.",safe
94,user_ajaj,"This is a great memory.",safe
95,user_akak,"You're so cool.",safe
96,user_alal,"What a great idea.",safe
97,user_amam,"I love this.",safe
98,user_anan,"You are the best.",safe
99,user_aoao,"Keep smiling.",safe
100,user_apap,"This is so satisfying.",safe
101,user_a,"Your face is disgusting.",offensive
102,user_b,"Tum bilkul chutiye ho.",offensive
103,user_a,"Tu ek number ka ghatiya insaan hai.",offensive
104,user_c,"Saala, kuch nahi aata tujhe.",offensive
105,user_d,"Teri shakal dekh ke gussa aata hai.",offensive
106,user_e,"Tum pagal ho kya?",offensive
107,user_f,"Bhenchod, kya bakwas kar raha hai?",offensive
108,user_g,"Stop talking, you idiot.",offensive
109,user_h,"You are so annoying.",offensive
110,user_a,"I hate your guts.",offensive
111,user_i,"Bakwas band kar apni.",offensive
112,user_j,"Tum bilkul nalayak ho.",offensive
113,user_k,"Get lost, loser.",offensive
114,user_l,"Teri soch bohot chhoti hai.",offensive
115,user_m,"You are such a piece of trash.",offensive
116,user_n,"Tum ekdum bekar ho.",offensive
117,user_o,"Shut up, madarchod.",offensive
118,user_p,"Tu bohot irritating hai.",offensive
119,user_q,"Teri awaaz sunke kaan dard hote hai.",offensive
120,user_r,"You are a waste of space.",offensive
121,user_a,"Kya pagalpan kar raha hai?",offensive
122,user_s,"You are so dumb.",offensive
123,user_t,"Tujhe sharam nahi aati?",offensive
